"Timestamp","Event","User ID","User Properties","Value","Metadata"
"Sep 23 20:32:15","b8_1_help_requested","b8_1_baseline_0030","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""phase"":""baseline"",""fixture"":""b8_1""}"
"Sep 23 20:32:15","b8_1_onboarding_error","b8_1_baseline_0030","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""phase"":""baseline"",""fixture"":""b8_1""}"
"Sep 23 20:32:15","b8_1_workspace_created","b8_1_baseline_0030","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""phase"":""baseline"",""fixture"":""b8_1""}"
"Sep 23 20:32:15","b8_1_workspace_created","b8_1_baseline_0028","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""fixture"":""b8_1"",""phase"":""baseline""}"
"Sep 23 20:32:15","b8_1_workspace_created","b8_1_baseline_0026","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""phase"":""baseline"",""fixture"":""b8_1""}"
"Sep 23 20:32:15","b8_1_help_requested","b8_1_baseline_0025","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""phase"":""baseline"",""fixture"":""b8_1""}"
"Sep 23 20:32:15","b8_1_workspace_created","b8_1_baseline_0024","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""fixture"":""b8_1"",""phase"":""baseline""}"
"Sep 23 20:32:15","b8_1_workspace_created","b8_1_baseline_0022","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""phase"":""baseline"",""fixture"":""b8_1""}"
"Sep 23 20:32:15","b8_1_help_requested","b8_1_baseline_0020","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""fixture"":""b8_1"",""phase"":""baseline""}"
"Sep 23 20:32:15","b8_1_onboarding_error","b8_1_baseline_0020","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""phase"":""baseline"",""fixture"":""b8_1""}"
"Sep 23 20:32:15","b8_1_workspace_created","b8_1_baseline_0020","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""phase"":""baseline"",""fixture"":""b8_1""}"
"Sep 23 20:32:15","b8_1_workspace_created","b8_1_baseline_0018","{""custom"":{""test_fixture"":""b8_1"",""lifecycle"":""new""},""statsigEnvironment"":{""tier"":""production""}}","","{""fixture"":""b8_1"",""phase"":""baseline""}"
"Sep 23 20:32:15","b8_1_workspace_created","b8_1_baseline_0016","{""custom"":{""lifecycle"":""new"",""test_fixture"":""b8_1""},""statsigEnvironment"":{""tier"":""production""}}","","{""phase"":""baseline"",""fixture"":""b8_1""}"
"Sep 23 20:32:15","b8_1_help_requested","b8_1_baseline_0015","{""custom"":{""lifecycle"":""new"",""test_fixture"":""b8_1""},""statsigEnvironment"":{""tier"":""production""}}","","{""fixture"":""b8_1"",""phase"":""baseline""}"
"Sep 23 20:32:15","b8_1_workspace_created","b8_1_baseline_0014","{""custom"":{""lifecycle"":""new"",""test_fixture"":""b8_1""},""statsigEnvironment"":{""tier"":""production""}}","","{""phase"":""baseline"",""fixture"":""b8_1""}"
